trial,condition,score,reference,test_textbox.text
1,Non-primed,0,hound,humid
2,Non-primed,1,bread,bread
3,Primed,1,ballet,ballet
4,Non-primed,0,wise,mice
5,Primed,1,glue,glue
6,Non-primed,0,puppet,
7,Primed,1,candle,candle
8,Primed,0,thorn,share
9,Non-primed,0,share,shave
10,Primed,1,hammer,hammer
11,Non-primed,1,turn,turn
12,Primed,1,daughter,daughter
13,Primed,1,milk,milk
14,Primed,1,mouse,mouse
15,Non-primed,1,touch,touch
16,Non-primed,0,group,ground
17,Non-primed,1,aroma,aroma
18,Non-primed,1,shine,shine
19,Primed,1,prawn,prawn
20,Primed,1,pencil,pencil
