trial,condition,reference,old_new,test_textbox.text
1,Non-primed,touch,new,touch
2,Non-primed,turn,new,burn
3,Prime,thorn,old,share
4,Prime,mouse,old,mouse
5,Non-primed,wise,new,give
6,Primed,prawn,old,prawn
7,,pencil,old,pencil
8,,shine,new,thine
9,,group,new,group
10,,milk,old,mole
11,,daughter,old,daughter
12,,ballet,old,hamlet
13,,hammer,old,hammer
14,,hound,new,hound
15,,aroma,new,aroma
16,,puppet,new,puppet
17,,share,new,scare
18,,candle,old,candle
19,,bread,new,bread
20,,glue,old,cole
