test_word,reference,old_new,test_textbox.text,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,,,,,,
_l_e,glue,old,hole,[0.14537037037037037],[-0.31296296296296294],[1],[0],[0],[4.494249899988063],,,,,,
_e_c_l,pencil,old,pencil,[0.14537037037037037],[-0.31296296296296294],[1],[0],[0],[3.3887773999595083],,,,,,
m_l_,milk,old,milk,[0.10740740740740741],[-0.3055555555555556],[1],[0],[0],[3.3906864000018686],,,,,,
s_a_e,share,new,shade,[0.10740740740740741],[-0.3055555555555556],[1],[0],[0],[3.7052081000292674],,,,,,
g_ou_,group,new,gourd,[0.10740740740740741],[-0.3055555555555556],[1],[0],[0],[7.884484700043686],,,,,,
_ro_a,aroma,new,aroma,[0.10740740740740741],[-0.3055555555555556],[1],[0],[0],[3.97324479999952],,,,,,
_a_m_r,hammer,old,hammer,[0.10740740740740741],[-0.3055555555555556],[1],[0],[0],[3.1063289999729022],,,,,,
p_a_n,prawn,old,prawn,[0.10740740740740741],[-0.3055555555555556],[1],[0],[0],[3.2072965999832377],,,,,,Primed correct
_i_e,wise,new,mice,[0.10740740740740741],[-0.3055555555555556],[1],[0],[0],[4.138894499978051],,,,,,Non-primed correct
_r_e_d,bread,new,bread,[0.10740740740740741],[-0.3055555555555556],[1],[0],[0],[3.293077700014692],,,,,,
_a_l_t,ballet,old,ballet,[0.10740740740740741],[-0.3055555555555556],[1],[0],[0],[8.482701500004623],,,,,,
_hin_,shine,new,shine,[0.10740740740740741],[-0.3055555555555556],[1],[0],[0],[7.553925400017761],,,,,,
_o_s_,mouse,old,house,[0.10740740740740741],[-0.3055555555555556],[1],[0],[0],[5.170387500023935],,,,,,
_u_p_t,puppet,new,muppet,[0.10740740740740741],[-0.3055555555555556],[1],[0],[0],[4.438737400050741],,,,,,
d_u_h_e_,daughter,old,daughter,[0.10740740740740741],[-0.3055555555555556],[1],[0],[0],[5.07036190002691],,,,,,
h_u_d,hound,new,hound,[0.10740740740740741],[-0.3055555555555556],[1],[0],[0],[5.3561324999900535],,,,,,
t_u_h,touch,new,tough,[0.10740740740740741],[-0.3055555555555556],[1],[0],[0],[3.539257300028112],,,,,,
_h_r_,thorn,old,share,[0.10740740740740741],[-0.3055555555555556],[1],[0],[0],[6.571471000032034],,,,,,
c_n_l_,candle,old,candle,[0.10740740740740741],[-0.3055555555555556],[1],[0],[0],[4.7540335999801755],,,,,,
_u_n,turn,new,burn,[0.10740740740740741],[-0.3055555555555556],[1],[0],[0],[5.191863899992313],,,,,,
