test_word,reference,old_new,test_textbox.text,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time
_hin_,shine,new,think,[0.11851851851851852],[-0.3138888888888889],[1],[0],[0],[6.032537000020966]
_h_r_,thorn,old,share,[0.1175925925925926],[-0.30185185185185187],[1],[0],[0],[5.9074641999905]
_u_n,turn,new,burn,[0.1175925925925926],[-0.30185185185185187],[1],[0],[0],[4.960840300016571]
_a_m_r,hammer,old,hammer,[0.1175925925925926],[-0.30185185185185187],[1],[0],[0],[3.576115200005006]
_a_l_t,ballet,old,ballet,[0.125],[-0.31666666666666665],[1],[0],[0],[4.4592965000192635]
_o_s_,mouse,old,house,[0.125],[-0.29907407407407405],[1],[0],[0],[7.140976499998942]
m_l_,milk,old,milk,[0.125],[-0.29907407407407405],[1],[0],[0],[4.759554399992339]
_u_p_t,puppet,new,puppet,[0.13333333333333333],[-0.3074074074074074],[1],[0],[0],[4.226591799990274]
g_ou_,group,new,ground,[0.13333333333333333],[-0.3074074074074074],[1],[0],[0],[8.039500600018073]
_l_e,glue,old,glue,[0.13333333333333333],[-0.2972222222222222],[1],[0],[0],[4.226429099973757]
_ro_a,aroma,new,aroma,[0.13333333333333333],[-0.2972222222222222],[1],[0],[0],[6.373944599996321]
d_u_h_e_,daughter,old,daughter,[0.06481481481481481],[-0.3037037037037037],[1],[0],[0],[4.99259899999015]
t_u_h,touch,new,touch,[0.08796296296296297],[-0.29907407407407405],[1],[0],[0],[4.009721900045406]
s_a_e,share,new,scare,[0.10277777777777777],[-0.29814814814814816],[1],[0],[0],[5.193296499957796]
c_n_l_,candle,old,candle,[0.125],[-0.29814814814814816],[1],[0],[0],[3.062428200035356]
p_a_n,prawn,old,prawn,[0.125],[-0.29814814814814816],[1],[0],[0],[3.88977629999863]
h_u_d,hound,new,hound,[0.125],[-0.29814814814814816],[1],[0],[0],[7.989524800039362]
_e_c_l,pencil,old,pencil,[0.125],[-0.29814814814814816],[1],[0],[0],[4.842454999976326]
_r_e_d,bread,new,bread,[0.13703703703703704],[-0.29814814814814816],[1],[0],[0],[3.7935405999887735]
_i_e,wise,new,hive,[0.13703703703703704],[-0.29814814814814816],[1],[0],[0],[6.623094899987336]
